name,slug,category,category_emoji,type,typology,tags,rarity,condition,condition_detail,price,price_floor,price_optimistic,in_use,available,image_url,notes
"Benson Germanium Preamp","benson-germanium-preamp","booster","🟢","Clean Boost / EQ / OD / Fuzz","Preamp (Germanium)","Boutique|Germanio|FET|Preamp|Clean Boost|Transparente|Amplifier-like","","MINT","Con caja",180000,150000,220000,false,true,"","Preamp (Germanium). Boutique. Basado en la sección de drive del Benson Chimera adaptada a FET."
"Xotic RC Booster V2","xotic-rc-booster-v2","booster","🟢","Boost / Clean OD / Dist","Timmy","Boutique|Doble|Stackeable|EQ Activo|Clean Boost|Guitarra|Bajo","🔹","MINT","Con caja",150000,100000,220000,false,true,"","Timmy. Boutique. No se vende en Chile. Excelente para guitarra y bajo."
"MXR Micro Amp","mxr-micro-amp","booster","🟢","Clean Booster","Original","Clean Boost|Clásico|Alto Headroom","","Muy bueno","",75000,65000,90000,false,true,"","Original. Booster clásico y muy transparente."
"La Forja Treble Booster","la-forja-treble-booster","booster","🟢","Fuzz / Treble Booster","Rangemaster","Boutique Chileno|Treble Booster|Rangemaster","","MINT","",50000,50000,70000,false,true,"","Rangemaster. Boutique chileno. Excelente para sonidos tipo Brian May."
"BBE Boosta Grande","bbe-boosta-grande","booster","🟢","Clean Booster","Original","Clean Boost|Alto Headroom","","MINT","",70000,50000,90000,false,true,"","Original. Boost limpio con gran reserva de volumen."
"Mooer Yellow Comp","mooer-yellow-comp","compresor","🔵","Compresor","Diamond Compressor","Mini|Compresor Óptico|Clon|Transparente","","MINT","",25000,20000,35000,false,true,"","Diamond Compressor. Clon del Diamond Compressor. Excelente relación calidad/precio."
"Ibanez TS808","ibanez-ts808","overdrive","🟠","Clean OD / OD","Tube Screamer","Tube Screamer|Clásico|Mid-Hump|Media Ganancia","","MINT","",100000,80000,115000,false,true,"","Tube Screamer. El Tube Screamer original."
"JHS Morning Glory V4","jhs-morning-glory-v4","overdrive","🟠","Clean OD / OD / Dist","Bluesbreaker","Boutique|Bluesbreaker|Always On|Baja Ganancia|Transparente","🔹","MINT","",180000,150000,220000,false,true,"","Bluesbreaker. Boutique. No se vende en Chile. Excelente always-on. Entrada para mini footswitch (no incluido)."
"Cornerstone Antique V2","cornerstone-antique-v2","overdrive","🟠","Clean OD / OD","Tube Screamer","Boutique|Tube Screamer|Descatalogado|Presence|Control de Medios|Compresión","🔷","MINT","",180000,150000,210000,false,true,"","Tube Screamer. Boutique. V2 descatalogado con controles de Presence, medios y compresión."
"Jam Double Dreamer","jam-double-dreamer","overdrive","🟠","Clean OD / OD","Tube Screamer","Boutique|Doble|Stackeable|Dos Canales|Tube Screamer|Media Ganancia","🔷","Reparar","",200000,180000,280000,false,true,"","Tube Screamer. Boutique. Doble Tube Screamer independiente. Requiere reparación."
